ENV:CMS/, 2017-09-29 15:53:12, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:53:12, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:53:12, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:53:12, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:53:12, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:54:55, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:54:55, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:54:55, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:54:55, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:54:55, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:170, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
